2021-12-24 14:40:54.977813   input= <built-in function input>
2021-12-24 14:45:19.481823   input= <built-in function input>
2021-12-24 14:46:02.865735   input= <built-in function input>
2021-12-24 14:46:24.107431   input= <built-in function input>
2021-12-24 14:47:29.163495   input= <built-in function input>
2021-12-30 00:56:59.304006   input= <built-in function input>
2022-01-05 16:03:36.466202   input= <built-in function input>
2022-01-05 16:04:45.942009   input= <built-in function input>
2022-01-10 16:03:40.876783   Error convert:  Tuu0001
2022-01-10 16:04:00.033772   Error convert:  Tuu0400
2022-01-10 16:04:22.616826   Error convert:  Tuu0400
2022-01-10 16:05:54.057532   Error convert:  Tuu0400
2022-01-10 16:06:47.672083   Error convert:  Tuu0400
2022-01-10 16:07:53.189383   Error convert:  Tuu0400
2022-01-10 16:08:13.828810   Error convert:  Tuu0400
2022-01-10 16:09:13.076124   Error convert:  Tuu0400
2022-01-10 16:09:32.328841   Error convert:  Tuu0400
2022-01-10 16:09:35.596076   Error convert:  Tuu0400
2022-01-10 18:20:57.181694   Error convert:  Tuu0400
2022-01-10 18:25:01.831048   Error convert:  Tuu0400
2022-01-10 18:25:25.236386   Error convert:  Tuu0400
2022-01-10 18:25:38.316181   Error convert:  Tuu0400
2022-01-10 18:25:43.632169   Error convert:  Tuu0400
2022-01-10 18:26:47.783044   Error convert:  Tuu0400
2022-01-10 18:27:09.179244   Error convert:  Tuu0001
2022-01-10 18:27:54.443032   Error convert:  Tuu0001
2022-01-10 18:27:59.491899   Error convert:  Tuu0001
2022-01-10 18:28:08.289853   Error convert:  Tuu0001
2022-01-10 18:28:13.938808   Error convert:  Tuu0001
2022-01-10 18:29:01.250773   Error convert:  Tuu0001
2022-01-10 18:29:28.120720   Error convert:  Tuu0001
2022-01-10 18:29:43.195690   Error convert:  Tuu0001
2022-01-10 18:30:34.380344   Error convert:  Tuu0001
2022-01-10 18:31:13.996464   Error convert:  Tuu0001
2022-01-10 18:31:18.562453   Error convert:  Tuu0001
2022-01-10 18:32:58.762301   Error convert:  Tuu0001
2022-01-10 18:33:53.564192   Error convert:  Tuu0001
2022-01-10 18:33:58.041131   Error convert:  Tuu0001
2022-01-10 18:34:02.082321   Error convert:  Tuu0001
2022-01-10 18:34:07.178565   Error convert:  Tuu0001
2022-01-10 18:34:56.201264   Error convert:  Tuu0001
2022-01-10 18:35:13.431623   Error convert:  Tuu0001
2022-01-10 18:35:18.226164   Error convert:  Tuu0001
2022-01-10 18:35:21.591929   Error convert:  Tuu0001
2022-01-10 18:35:25.441387   Error convert:  Tuu0001
2022-01-10 18:35:33.522706   Error convert:  Tuu0001
2022-01-10 18:35:36.519893   Error convert:  Tuu0001
2022-01-10 18:35:39.010987   Error convert:  Tuu0001
2022-01-10 18:35:43.486066   Error convert:  Tuu0001
2022-01-10 18:35:45.763498   Error convert:  Tuu0001
2022-01-10 18:35:48.129940   Error convert:  Tuu0001
2022-01-10 18:36:52.976145   Error convert:  Tuu0001
2022-01-10 18:37:00.189758   Error convert:  Tuu0001
2022-01-10 18:37:43.972536   Error convert:  Tuu0001
2022-01-10 18:38:01.389700   Error convert:  Tuu0001
2022-01-10 18:38:37.725384   Error convert:  Tuu0001
2022-01-10 18:39:00.662344   Error convert:  Tuu0001
2022-01-10 18:46:41.548456   Error convert:  Tuu0150
2022-01-10 18:50:09.773985   Error convert:  Tuu0150
2022-01-10 18:50:15.123279   Error convert:  Tuu0150
2022-01-10 18:51:01.207498   Error convert:  Tuu0150
2022-01-10 18:51:05.466729   Error convert:  Tuu0150
2022-01-10 18:52:57.565609   Error convert:  Tuu0001
2022-01-10 18:54:22.054761   Error convert:  Tuu0001
2022-01-10 18:54:26.817773   Error convert:  Tuu0001
2022-01-10 18:54:36.310441   Error convert:  Tuu0001
2022-01-10 18:55:16.816493   Error convert:  Tuu0001
2022-01-10 18:55:21.421739   Error convert:  Tuu0001
2022-01-10 18:55:56.962419   Error convert:  Tuu0001
2022-01-11 21:42:31.930899   Error convert:  Tuu0001
2022-01-11 22:00:55.705982   Error convert:  Tuu0001
2022-01-11 22:00:57.809457   Error convert:  Tuu0001
2022-01-11 22:06:46.876361   Error convert:  Tuu0001
2022-01-11 22:15:08.328963   Error convert:  Tuu0001
2022-01-11 22:15:15.084081   Error convert:  Tuu0001
2022-01-11 22:15:19.178286   Error convert:  Tuu0002
2022-01-11 22:15:24.928218   Error convert:  Tuu0003
2022-01-11 22:15:38.177232   Error convert:  Tuu0002
2022-01-11 22:15:41.166082   Error convert:  Tuu0003
2022-01-12 17:31:24.638268   Error convert:  Tuu0003
2022-01-12 17:31:27.755194   Error convert:  Tuu0001
2022-01-12 17:37:36.637213   Error convert:  Tuu0001
2022-01-12 17:38:54.899928   Error convert:  Tuu0001
2022-01-12 17:40:26.867063   Error convert:  Tuu0001
2022-01-12 17:40:42.016818   Error convert:  Tuu0001
2022-01-12 17:42:50.504008   Error convert:  Tuu0001
2022-01-12 17:43:44.590755   Error convert:  Tuu0001
2022-01-12 17:45:15.826613   Error convert:  Tuu0001
2022-01-12 17:48:06.994700   Error convert:  Tuu0001
2022-01-12 17:48:13.087464   Error convert:  Tuu0001
2022-01-12 17:48:59.424377   Error convert:  Tuu0001
2022-01-12 17:50:21.321344   Error convert:  Tuu0001
2022-01-12 17:51:49.717571   Error convert:  Tuu0001
2022-01-12 17:51:55.720588   Error convert:  Tuu0001
2022-01-12 17:52:21.424232   Error convert:  Tuu0001
2022-01-12 17:52:52.562600   Error convert:  Tuu0001
2022-01-12 17:54:05.981391   Error convert:  Tuu0001
2022-01-12 17:58:33.614231   Error convert:  Tuu0001
2022-01-12 18:02:24.902815   Error convert:  Tuu0001
2022-01-12 18:03:17.534967   Error convert:  Tuu0001
2022-01-12 18:05:03.282669   Error convert:  Tuu0001
2022-01-12 18:06:17.073833   Error convert:  Tuu0001
2022-01-12 18:11:55.201526   Error convert:  Tuu0001
2022-01-12 18:13:33.346501   Error convert:  Tuu0001
2022-01-12 18:16:30.183331   Error convert:  Tuu0001
2022-01-12 18:21:35.517422   Error convert:  Tuu0001
2022-01-12 18:21:55.921645   Error convert:  Tuu0001
2022-01-12 18:25:03.725923   Error convert:  Tuu0001
2022-01-12 18:25:26.749931   Error convert:  Tuu0001
2022-01-12 18:27:00.356753   Error convert:  Tuu0001
2022-01-12 18:27:46.887554   Error convert:  Tuu0001
2022-01-12 18:28:52.521657   Error convert:  Tuu0001
2022-01-12 18:29:29.710516   Error convert:  Tuu0001
2022-01-12 18:32:08.002601   Error convert:  Tuu0001
2022-01-12 18:33:47.312260   Error convert:  Tuu0001
2022-01-12 18:34:13.763248   Error convert:  Tuu0001
2022-01-12 18:34:24.120270   Error convert:  Tuu0001
2022-01-12 18:34:39.663455   Error convert:  Tuu0001
2022-01-12 18:36:47.122143   Error convert:  Tuu0001
2022-01-12 18:37:28.786335   Error convert:  Tuu0001
2022-01-12 18:37:36.130313   Error convert:  Tuu0002
2022-01-12 18:37:39.179078   Error convert:  Tuu0003
2022-01-12 18:42:47.579154   Error convert:  Tuu0001
2022-01-12 18:43:19.610025   Error convert:  Tuu0001
2022-01-14 13:22:37.656934   Error convert:  Tuu0001
2022-01-14 13:22:42.615040   Error convert:  Tuu0001
2022-01-14 13:24:39.777422   Error convert:  Tuu0001
2022-01-14 13:24:43.101353   Error convert:  Tuu0001
2022-01-14 13:24:50.335338   Error convert:  Tuu0001
2022-01-14 13:26:16.747282   Error convert:  Tuu0001
2022-01-14 13:27:00.278838   Error convert:  Tuu0001
2022-01-14 13:27:13.833239   Error convert:  Tuu0001
2022-01-14 13:27:47.653215   Error convert:  Tuu0001
2022-01-14 13:28:05.049241   Error convert:  Tuu0001
2022-01-14 13:28:58.112176   Error convert:  Tuu0001
2022-01-14 13:29:30.750000   Error convert:  Tuu0001
2022-01-14 13:33:39.015731   Error convert:  Tuu0001
2022-01-14 13:33:52.420445   Error convert:  Tuu0001
2022-01-14 13:33:54.281920   Error convert:  Tuu0001
2022-01-16 18:49:12.203290   Error convert:  Tuu0001
2022-01-16 18:49:25.577904   Error convert:  Tuu0001
2022-01-16 18:49:38.944232   Error convert:  Tuu0001
2022-01-16 18:50:10.047969   Error convert:  Tuu0001
2022-01-16 18:50:48.656933   Error convert:  Tuu0001
2022-01-16 18:53:43.064363   Error convert:  Tuu0001
2022-01-16 18:53:58.294129   Error convert:  Tuu0001
2022-01-16 18:54:42.553298   Error convert:  Tuu0001
2022-01-16 18:54:55.700740   Error convert:  Tuu0001
2022-01-21 15:37:11.532646   Error convert:  Tuu0001
2022-01-21 15:37:47.567290   Error convert:  Tuu0001
2022-01-21 15:37:53.715610   Error convert:  Tuu0001
2022-01-21 15:38:24.311738   Error convert:  Tuu0001
2022-01-21 15:39:10.664144   Error convert:  Tuu0001
2022-01-21 15:39:20.025000   Error convert:  Tuu0001
2022-01-21 15:39:25.888874   Error convert:  Tuu0001
2022-01-21 23:21:10.602369   Error convert:  Tuu0422
2022-01-21 23:21:22.245677   Error convert:  Tuu0425
2022-01-21 23:21:42.923492   Error convert:  Tuu0428
2022-01-21 23:29:23.375911   Error convert:  Tuu0324
2022-01-21 23:29:31.128529   Error convert:  Tuu0323
2022-01-21 23:29:32.545325   Error convert:  Tuu0322
2022-01-21 23:34:44.493672   Error convert:  Tuu0322
2022-01-21 23:35:34.547374   Error convert:  Tuu0322
2022-01-21 23:35:37.196090   Error convert:  Tuu0322
2022-01-21 23:36:33.481323   Error convert:  Tuu0322
2022-01-21 23:36:51.753650   Error convert:  Tuu0322
2022-01-21 23:37:26.876318   Error convert:  Tuu0323
2022-01-21 23:37:28.957660   Error convert:  Tuu0324
2022-01-21 23:37:33.340639   Error convert:  Tuu0325
2022-01-21 23:37:34.989949   Error convert:  Tuu0326
2022-01-21 23:37:36.469937   Error convert:  Tuu0327
2022-01-21 23:37:40.587967   Error convert:  Tuu0329
2022-01-21 23:37:48.222810   Error convert:  Tuu0331
2022-01-21 23:37:54.880600   Error convert:  Tuu0331
2022-01-21 23:38:02.180273   Error convert:  Tuu0331
2022-01-21 23:38:07.418112   Error convert:  Tuu0331
2022-01-21 23:38:15.994692   Error convert:  Tuu0331
2022-01-21 23:38:22.871224   Error convert:  Tuu0331
2022-01-22 16:23:57.356111   Error convert:  Tuu0925
2022-02-02 19:53:38.813253   Error convert:  Tuu0002
2022-02-02 19:54:21.812725   Error convert:  Tuu0002
2022-02-02 19:54:46.139121   Error convert:  Tuu0002
2022-02-02 20:00:31.457640   F= 1
2022-02-02 20:00:31.547603   F= 1
2022-02-02 20:00:31.552604   F= 1
2022-02-02 20:00:31.552604   F= 1
2022-02-02 20:00:31.558608   F= 1
2022-02-02 20:00:31.564605   F= 1
2022-02-02 20:00:31.565605   F= 1
2022-02-02 20:00:31.566606   F= 1
2022-02-02 20:00:31.567609   F= 1
2022-02-02 20:00:31.572614   F= 1
2022-02-02 20:00:31.573608   F= 1
2022-02-02 20:00:31.577613   F= 2
2022-02-02 20:00:31.578606   F= 1
2022-02-02 20:00:31.585416   F= 1
2022-02-02 20:00:31.585416   F= 2
2022-02-02 20:00:31.587418   F= 1
2022-02-02 20:00:31.587418   F= 1
2022-02-02 20:00:31.588411   F= 2
2022-02-02 20:00:31.590413   F= 1
2022-02-02 20:00:31.590413   F= 1
2022-02-02 20:00:31.591411   F= 2
2022-02-02 20:00:31.593410   F= 5
2022-02-02 20:00:31.594408   F= 1
2022-02-02 20:00:31.596416   F= 4
2022-02-02 20:00:31.597423   F= 1
2022-02-02 20:00:31.598411   F= 1
2022-02-02 20:00:31.599412   F= 2
2022-02-02 20:00:31.600410   F= 1
2022-02-02 20:00:31.600410   F= 1
2022-02-02 20:00:31.601411   F= 1
2022-02-02 20:00:31.601411   F= 1
2022-02-02 20:00:31.602412   F= 2
2022-02-02 20:00:31.603407   F= 1
2022-02-02 20:00:31.603407   F= 1
2022-02-02 20:00:31.604414   F= 2
2022-02-02 20:00:31.605417   F= 1
2022-02-02 20:00:31.606420   F= 1
2022-02-02 20:00:31.607419   F= 2
2022-02-02 20:00:31.609415   F= 5
2022-02-02 20:00:31.610408   F= 1
2022-02-02 20:00:31.612424   F= 4
2022-02-02 20:00:31.613414   F= 1
2022-02-02 20:00:31.614415   F= 1
2022-02-02 20:00:31.614415   F= 2
2022-02-02 20:00:31.615414   F= 1
2022-02-02 20:00:31.616411   F= 1
2022-02-02 20:00:31.617408   F= 2
2022-02-02 20:00:31.619416   F= 5
2022-02-02 20:00:31.620411   F= 1
2022-02-02 20:00:31.621408   F= 4
2022-02-02 20:00:31.622432   F= 15
2022-02-02 20:00:31.625415   F= 56
2022-02-02 20:00:31.626491   F= 2
2022-02-02 20:00:31.627410   F= 15
2022-02-02 20:00:31.629409   F= 84
2022-02-02 20:00:31.630409   F= 420
2022-02-02 20:00:31.631410   F= 5
2022-02-02 20:00:31.633412   F= 56
2022-02-02 20:00:31.634419   F= 420
2022-02-02 20:00:31.635421   F= 2640
2022-02-02 20:00:51.278443   F= 1
2022-02-02 20:00:51.282513   F= 1
2022-02-02 20:00:51.285515   F= 1
2022-02-02 20:00:51.287515   F= 1
2022-02-02 20:00:51.289511   F= 1
2022-02-02 20:00:51.293509   F= 1
2022-02-02 20:00:51.294509   F= 1
2022-02-02 20:00:51.296508   F= 1
2022-02-02 20:00:51.297511   F= 1
2022-02-02 20:00:51.298508   F= 1
2022-02-02 20:00:51.300507   F= 1
2022-02-02 20:00:51.303543   F= 2
2022-02-02 20:00:51.306543   F= 1
2022-02-02 20:00:51.307508   F= 1
2022-02-02 20:00:51.309514   F= 2
2022-02-02 20:00:51.311507   F= 1
2022-02-02 20:00:51.312511   F= 1
2022-02-02 20:00:51.313508   F= 2
2022-02-02 20:00:51.314511   F= 1
2022-02-02 20:00:51.315509   F= 1
2022-02-02 20:00:51.317508   F= 2
2022-02-02 20:00:51.320510   F= 5
2022-02-02 20:00:51.322520   F= 1
2022-02-02 20:00:51.324514   F= 4
2022-02-02 20:00:51.325515   F= 1
2022-02-02 20:00:51.327509   F= 1
2022-02-02 20:00:51.328508   F= 2
2022-02-02 20:00:51.330508   F= 1
2022-02-02 20:00:51.332510   F= 1
2022-02-02 20:00:51.333507   F= 1
2022-02-02 20:00:51.336511   F= 1
2022-02-02 20:00:51.337514   F= 2
2022-02-02 20:00:51.339509   F= 1
2022-02-02 20:00:51.339509   F= 1
2022-02-02 20:00:51.341513   F= 2
2022-02-02 20:00:51.343512   F= 1
2022-02-02 20:00:51.344509   F= 1
2022-02-02 20:00:51.345508   F= 2
2022-02-02 20:00:51.346507   F= 5
2022-02-02 20:00:51.348507   F= 1
2022-02-02 20:00:51.349507   F= 4
2022-02-02 20:00:51.350507   F= 1
2022-02-02 20:00:51.351509   F= 1
2022-02-02 20:00:51.352512   F= 2
2022-02-02 20:00:51.353511   F= 1
2022-02-02 20:00:51.355511   F= 1
2022-02-02 20:00:51.356508   F= 2
2022-02-02 20:00:51.357508   F= 5
2022-02-02 20:00:51.358508   F= 1
2022-02-02 20:00:51.359512   F= 4
2022-02-02 20:00:51.360509   F= 15
2022-02-02 20:00:51.362511   F= 56
2022-02-02 20:00:51.363507   F= 2
2022-02-02 20:00:51.364507   F= 15
2022-02-02 20:00:51.364507   F= 84
2022-02-02 20:00:51.367505   F= 420
2022-02-02 20:00:51.368510   F= 5
2022-02-02 20:00:51.369510   F= 56
2022-02-02 20:00:51.370510   F= 420
2022-02-02 20:00:51.372508   F= 2640
2022-02-02 20:33:15.416599   F= 1
2022-02-02 20:33:15.416599   F= 1
2022-02-02 20:33:15.420602   F= 1
2022-02-02 20:33:15.420602   F= 1
2022-02-02 20:33:15.420602   F= 1
2022-02-02 20:33:15.424603   F= 1
2022-02-02 20:33:15.424603   F= 1
2022-02-02 20:33:15.424603   F= 1
2022-02-02 20:33:15.424603   F= 1
2022-02-02 20:33:15.428602   F= 1
2022-02-02 20:33:15.428602   F= 1
2022-02-02 20:33:15.428602   F= 2
2022-02-02 20:33:15.428602   F= 1
2022-02-02 20:33:15.432433   F= 1
2022-02-02 20:33:15.432433   F= 2
2022-02-02 20:33:15.432433   F= 1
2022-02-02 20:33:15.432433   F= 1
2022-02-02 20:33:15.434492   F= 2
2022-02-02 20:33:15.434492   F= 1
2022-02-02 20:33:15.434492   F= 1
2022-02-02 20:33:15.434492   F= 2
2022-02-02 20:33:15.434492   F= 5
2022-02-02 20:33:15.434492   F= 1
2022-02-02 20:33:15.434492   F= 4
2022-02-02 20:33:15.434492   F= 1
2022-02-02 20:33:15.434492   F= 1
2022-02-02 20:33:15.434492   F= 2
2022-02-02 20:33:15.439509   F= 1
2022-02-02 20:33:15.439509   F= 1
2022-02-02 20:33:15.439509   F= 1
2022-02-02 20:33:15.439509   F= 1
2022-02-02 20:33:15.439509   F= 2
2022-02-02 20:33:15.439509   F= 1
2022-02-02 20:33:15.444577   F= 1
2022-02-02 20:33:15.444577   F= 2
2022-02-02 20:33:15.444577   F= 1
2022-02-02 20:33:15.444577   F= 1
2022-02-02 20:33:15.444577   F= 2
2022-02-02 20:33:15.444577   F= 5
2022-02-02 20:33:15.444577   F= 1
2022-02-02 20:33:15.444577   F= 4
2022-02-02 20:33:15.444577   F= 1
2022-02-02 20:33:15.444577   F= 1
2022-02-02 20:33:15.449095   F= 2
2022-02-02 20:33:15.449095   F= 1
2022-02-02 20:33:15.449095   F= 1
2022-02-02 20:33:15.449095   F= 2
2022-02-02 20:33:15.449095   F= 5
2022-02-02 20:33:15.454168   F= 1
2022-02-02 20:33:15.454168   F= 4
2022-02-02 20:33:15.454168   F= 15
2022-02-02 20:33:15.454168   F= 56
2022-02-02 20:33:15.454168   F= 2
2022-02-02 20:33:15.459190   F= 15
2022-02-02 20:33:15.459190   F= 84
2022-02-02 20:33:15.459190   F= 420
2022-02-02 20:33:15.459190   F= 5
2022-02-02 20:33:15.459190   F= 56
2022-02-02 20:33:15.459190   F= 420
2022-02-02 20:33:15.464269   F= 2640
2022-02-02 20:39:00.933528   Polyn x + y
2022-02-02 20:39:00.939528   Error convert:  Tuu0001
2022-02-02 20:40:19.772740   F= 1
2022-02-02 20:40:19.774739   F= 1
2022-02-02 20:40:19.774739   F= 1
2022-02-02 20:40:19.775738   F= 1
2022-02-02 20:40:19.776738   F= 1
2022-02-02 20:40:19.777738   F= 1
2022-02-02 20:40:19.778734   F= 1
2022-02-02 20:40:19.778734   F= 1
2022-02-02 20:40:19.779739   F= 1
2022-02-02 20:40:19.779739   F= 1
2022-02-02 20:40:19.780739   F= 1
2022-02-02 20:40:19.782737   F= 2
2022-02-02 20:40:19.783740   F= 1
2022-02-02 20:40:19.783740   F= 1
2022-02-02 20:40:19.784736   F= 2
2022-02-02 20:40:19.785739   F= 1
2022-02-02 20:40:19.786740   F= 1
2022-02-02 20:40:19.786740   F= 2
2022-02-02 20:40:19.787739   F= 1
2022-02-02 20:40:19.787739   F= 1
2022-02-02 20:40:19.788746   F= 2
2022-02-02 20:40:19.790735   F= 5
2022-02-02 20:40:19.792737   F= 1
2022-02-02 20:40:19.792737   F= 4
2022-02-02 20:40:19.793740   F= 1
2022-02-02 20:40:19.793740   F= 1
2022-02-02 20:40:19.794736   F= 2
2022-02-02 20:40:19.794736   F= 1
2022-02-02 20:40:19.795737   F= 1
2022-02-02 20:40:19.795737   F= 1
2022-02-02 20:40:19.795737   F= 1
2022-02-02 20:40:19.796732   F= 2
2022-02-02 20:40:19.796732   F= 1
2022-02-02 20:40:19.797732   F= 1
2022-02-02 20:40:19.798739   F= 2
2022-02-02 20:40:19.799735   F= 1
2022-02-02 20:40:19.800743   F= 1
2022-02-02 20:40:19.801738   F= 2
2022-02-02 20:40:19.801738   F= 5
2022-02-02 20:40:19.802736   F= 1
2022-02-02 20:40:19.803735   F= 4
2022-02-02 20:40:19.803735   F= 1
2022-02-02 20:40:19.803735   F= 1
2022-02-02 20:40:19.804736   F= 2
2022-02-02 20:40:19.805744   F= 1
2022-02-02 20:40:19.805744   F= 1
2022-02-02 20:40:19.806737   F= 2
2022-02-02 20:40:19.807737   F= 5
2022-02-02 20:40:19.808739   F= 1
2022-02-02 20:40:19.809740   F= 4
2022-02-02 20:40:19.809740   F= 15
2022-02-02 20:40:19.810741   F= 56
2022-02-02 20:40:19.811739   F= 2
2022-02-02 20:40:19.811739   F= 15
2022-02-02 20:40:19.812734   F= 84
2022-02-02 20:40:19.813736   F= 420
2022-02-02 20:40:19.815736   F= 5
2022-02-02 20:40:19.816737   F= 56
2022-02-02 20:40:19.817736   F= 420
2022-02-02 20:40:19.818735   F= 2640
2022-02-02 20:40:36.959690   F= 1
2022-02-02 20:40:36.960685   F= 1
2022-02-02 20:40:36.961689   F= 1
2022-02-02 20:40:36.962692   F= 1
2022-02-02 20:40:36.963691   F= 1
2022-02-02 20:40:36.965695   F= 1
2022-02-02 20:40:36.966687   F= 1
2022-02-02 20:40:36.967688   F= 1
2022-02-02 20:40:36.968686   F= 1
2022-02-02 20:40:36.968686   F= 1
2022-02-02 20:40:36.969687   F= 1
2022-02-02 20:40:36.970686   F= 2
2022-02-02 20:40:36.971684   F= 1
2022-02-02 20:40:36.972686   F= 1
2022-02-02 20:40:36.973684   F= 2
2022-02-02 20:40:36.974685   F= 1
2022-02-02 20:40:36.974685   F= 1
2022-02-02 20:40:36.975690   F= 2
2022-02-02 20:40:36.977684   F= 1
2022-02-02 20:40:36.977684   F= 1
2022-02-02 20:40:36.978690   F= 2
2022-02-02 20:40:36.979689   F= 5
2022-02-02 20:40:36.980693   F= 1
2022-02-02 20:40:36.981687   F= 4
2022-02-02 20:40:36.982687   F= 1
2022-02-02 20:40:36.983712   F= 1
2022-02-02 20:40:36.983712   F= 2
2022-02-02 20:40:36.985704   F= 1
2022-02-02 20:40:36.986708   F= 1
2022-02-02 20:40:36.988687   F= 1
2022-02-02 20:40:36.988687   F= 1
2022-02-02 20:40:36.990687   F= 2
2022-02-02 20:40:36.991685   F= 1
2022-02-02 20:40:36.991685   F= 1
2022-02-02 20:40:36.992687   F= 2
2022-02-02 20:40:36.993688   F= 1
2022-02-02 20:40:36.994686   F= 1
2022-02-02 20:40:36.997688   F= 2
2022-02-02 20:40:36.998690   F= 5
2022-02-02 20:40:36.999688   F= 1
2022-02-02 20:40:37.000686   F= 4
2022-02-02 20:40:37.002691   F= 1
2022-02-02 20:40:37.002691   F= 1
2022-02-02 20:40:37.004687   F= 2
2022-02-02 20:40:37.004687   F= 1
2022-02-02 20:40:37.005687   F= 1
2022-02-02 20:40:37.006685   F= 2
2022-02-02 20:40:37.008686   F= 5
2022-02-02 20:40:37.008686   F= 1
2022-02-02 20:40:37.009686   F= 4
2022-02-02 20:40:37.010688   F= 15
2022-02-02 20:40:37.011685   F= 56
2022-02-02 20:40:37.012688   F= 2
2022-02-02 20:40:37.014691   F= 15
2022-02-02 20:40:37.014691   F= 84
2022-02-02 20:40:37.015688   F= 420
2022-02-02 20:40:37.016689   F= 5
2022-02-02 20:40:37.016689   F= 56
2022-02-02 20:40:37.017691   F= 420
2022-02-02 20:40:37.019695   F= 2640
2022-02-03 18:11:20.594540   Error convert:  Tuu0001
2022-02-03 18:12:28.539080   Error convert:  Tuu0001
2022-02-03 18:12:57.282358   Error convert:  Tuu0001
2022-02-03 18:23:13.817631   Error convert:  Tuu0003
2022-02-03 18:35:38.036486   Error convert:  Tuu0001
2022-02-03 18:40:49.115856   Polyn x + y
2022-02-03 18:40:49.160349   Error convert:  Tuu0001
2022-02-03 18:43:55.229415   Error convert:  Tuu0001
2022-02-03 18:44:19.304461   Error convert:  Tuu0001
2022-02-11 21:38:30.476565   Polyn x + y
2022-02-11 21:38:30.488546   Error convert:  Tuu0001
2022-02-12 11:53:28.520635   Polyn x + y
2022-02-12 11:53:28.561641   Error convert:  Tuu0001
2022-02-12 11:53:42.530260   Polyn x + y
2022-02-12 11:53:42.536254   Error convert:  Tuu0001
2022-02-12 11:53:59.390159   Polyn x + y
2022-02-12 11:53:59.396151   Error convert:  Tuu0001
2022-02-12 11:54:19.912626   Polyn x + y
2022-02-12 11:54:19.916626   Error convert:  Tuu0001
2022-02-12 11:54:33.927204   Polyn x + y
2022-02-12 11:54:33.932207   Error convert:  Tuu0001
2022-02-13 15:51:36.155382   Error convert:  Tuu0001
2022-02-13 15:53:30.733531   Error convert:  Tuu0002
2022-02-13 17:06:25.020051   Error convert:  Tuu0003
2022-02-13 17:10:06.608901   Error convert:  Tuu0002
2022-02-13 17:10:09.253453   Error convert:  Tuu0001
2022-02-13 17:45:35.023356   Error convert:  Tuu0001
2022-02-13 17:45:37.487459   Error convert:  Tuu0002
2022-02-13 17:45:39.569406   Error convert:  Tuu0003
2022-02-13 17:45:51.093271   Polyn x*y + x + y
2022-02-13 19:54:21.901256   Error convert:  Tuu0001
